symptom1,symptom2,symptom3,medicine
Fever,Cough,Headache,Paracetamol
Cold,Sneezing,Body Ache,Antihistamine
Stomach Pain,Nausea,Vomiting,Antacid
Chills,Blurred Vision,Joint Pain,Ibuprofen
Skin Rash,Itching,Swelling,Antiallergic
Shortness of Breath,Chest Pain,Sore Throat,Bronchodilator
Diarrhea,Dehydration,Weakness,ORS
Bloating,Indigestion,Gas,Simethicone
Cold Sore,Swollen Lips,Nasal Congestion,Antiviral Ointment
Runny Nose,Itchy Eyes,Dry Cough,Antihistamine
Mouth Ulcers,Burning,Wheezing,Oral Gel
Chest Tightness,Shivering,Acid Indigestion,Acetaminophen
Heartburn,Bitter Taste,Hives,Antacid
Redness,Bad Breath,Dry Mouth,Antiallergic Cream
Abdominal Cramps,Sinus Pain,Facial Swelling,Probiotics
Eye Strain,Chronic Cough,Phlegm,Artificial Tears
Postnasal Drip,Throat Irritation,Swollen Tonsils,Decongestant
Difficulty Swallowing,Low Blood Sugar,Dizziness,Glucose Tablet
Confusion,Swollen Gums,Bleeding,Antiseptic Gel
Motion Sickness,Vertigo,Spinning Sensation,Antiemetic
Loss of Balance,Cold Hands,Numbness,Meclizine
Tingling,Hair Loss,Scalp Itching,Vitamin B12
Brittle Hair,Muscle Twitching,Cramping,Minoxidil
Frequent Headaches,Sensitivity to Sound,Pain Reliever,Drink lemon water
Bruising Easily,Slow Healing,Fatigue,Vitamin C
High Cholesterol,Chest Discomfort,Shortness of Breath,Statins
Hand Tremors,Restlessness,Sweating,Beta Blocker
Frequent Nightmares,Anxiety,Insomnia,Melatonin
Stiff Neck,Severe Acne,Pus-Filled Pimples,Anti-inflammatory
Dark Circles,Puffy Eyes,Oily Skin,Cooling Gel
Clogged Pores,Acne Breakout,Dry Skin,Salicylic Acid
Excessive Sweating,Body Odor,Dehydration,Aluminum Chloride Solution
Weak Nails,Bladder Pain,Burning Urination,Biotin Supplement
Frequent Urge to Urinate,Kidney Pain,Hip Pain,Antibiotic
Lower Back Stiffness,Tingling in Hands and Feet,Nerve Pain,Physical Therapy
Weakness,Low Libido,Mood Swings,Vitamin B Complex
Testosterone Therapy,Irregular Periods,Weight Gain,Birth Control Pills
Hormonal Imbalance,Heavy Menstrual Bleeding,Cramping,NSAID
Pale Skin,Blurry Vision,Dry Eyes,Iron Supplement
Ear Ringing,Gum Recession,Sensitivity,Betahistine
Bleeding Gums,Frequent Burping,Acid Reflux,Mouthwash
Proton Pump Inhibitor,Tension Headache,Neck Stiffness,Muscle Relaxant
Burning Sensation,Numbness,Nerve Pain,Neuropathic Pain Reliever
Sore Gums,Bad Taste,Swollen Lymph Nodes,Antibacterial Mouthwash
Enlarged Lymph Nodes,Night Sweats,Pink Eye,Antiviral
Itching,Discharge,Loss of Appetite,Antibiotic Eye Drops
Tiredness,Inability to Sleep,Racing Thoughts,Multivitamin
Restlessness,Skin Darkening,Itchy Patches,Steroid Cream
Dryness,Vaginal Itching,Odor,Antifungal
Skin Peeling,Unexplained Fever,More Pain,Antibiotic
Tingling Face,Muscle Twitching,Recurrent Infections,Calcium Supplement
Low Immunity,Unintentional Weight Loss,Nutritional Supplement,Consume fiber-rich food
Sensitive Teeth,Sharp Pain,Receding Gums,Desensitizing Toothpaste
Burning Sensation in Feet,Nerve Damage,Wrist Pain,Vitamin B12
Frequent Leg Cramps,Knee Stiffness,Difficulty Walking,Magnesium
Glucosamine,Extreme Thirst,Frequent Urination,Diabetes Medication
Cold Feet,Pale Skin,Numb Toes,Circulation Booster
Muscle Fatigue,Trembling,Chronic Sinus Infection,Energy Drink
Nasal Polyps,Sensitive Scalp,Hair Thinning,Steroid Nasal Spray
Dryness,Painful Swallowing,White Patches,Scalp Oil Treatment
Antiseptic Gargle,Persistent Bad Taste,Mouth Dryness,Coated Tongue
Mouth Spray,Frequent Fainting,Low Blood Pressure,Electrolytes
Intense Hunger,Delayed Healing,Wound Infection,Glucose Tablets
Redness,Antiseptic Cream,Hearing Loss,Blocked Ear
Tinnitus,Ear Wax Drops,Sharp Chest Pain,Breathing Difficulty
Cold Sweats,Unsteady Gait,Muscle Stiffness,Aspirin
Hand Tremors,Levodopa,Chronic Hiccups,Frequent Belching
Brace,Weak Grip Strength,Numb Fingers,Antacid
Itchy Ears,Wax Build-up,Hearing Issues,Ear Drops
Recurrent Nosebleeds,Dry Nasal Passage,Sharp Shoulder Pain,Nasal Gel
Limited Movement,Swelling,Elbow Pain,Physiotherapy
Neck Spasms,Chronic Heartburn,Acid Regurgitation,Muscle Relaxant
Loss of Voice,Throat Irritation,Hoarseness,Steam Therapy
